,day,type,commune,tribunal,start,end,date
0,Mar,Appartement,Saint-ouen,BOBIGNY,350 000,225 000,15/06/21
1,Jeu,Logement,Paris,PARIS,100 000,205 000,10/06/21
2,Jeu,PAVILLON,Colombes,NANTERRE,196 000,500 000,10/06/21
3,Jeu,PAVILLON,le-Perreux-sur-Marne,CRETEIL,434 500,606 000,10/06/21
4,Jeu,Appartement,Saint-maur-des-fosses,CRETEIL,53 000,155 000,10/06/21
5,Jeu,PAVILLON,Villeneuve-St-Georges,CRETEIL,17 000,177 000,10/06/21
6,Mer,Appartement,Grigny,EVRY,6 000,57 000,09/06/21
7,Mer,Appartement,Grigny,EVRY,6 000,8 000,09/06/21
8,Mer,Maison,Sartrouville,VERSAILLES,95 000,197 000,09/06/21
9,Mar,Maison,Bondy,BOBIGNY,232 100,330 000,08/06/21
10,Mar,Logement,Bondy,BOBIGNY,46 000,81 000,08/06/21
11,Mer,Studio,Mantes-la-Jolie,VERSAILLES,45 000,84 000,02/06/21
12,Mer,PAVILLON,Jouars-Pontchartrain,VERSAILLES,440 000,302 000,02/06/21
13,Mar,Appartement,Cergy,PONTOISE,31 000,166 000,01/06/21
14,Mar,Logement,Bondy,BOBIGNY,34 000,135 000,01/06/21
15,Mar,Local,commercial,BOBIGNY,135 000,150 000,01/06/21
16,Mar,Maison,Pierrefitte-sur-Seine,BOBIGNY,90 000,233 000,01/06/21
17,Mar,Appartement,Rosny-sous-Bois,BOBIGNY,33 000,142 000,01/06/21
18,Mar,Appartement,Sevran,BOBIGNY,28 000,158 000,01/06/21
19,Jeu,Local,Paris,PARIS,100 000,1 010 000,27/05/21
20,Jeu,Logement,Paris,PARIS,160 000,350 000,27/05/21
21,Jeu,Local,commercial,PARIS,500 000,1 210 000,27/05/21
22,Jeu,Appartement,Sucy-en-Brie,CRETEIL,60 000,115 000,27/05/21
23,Mar,PAVILLON,Sannois,PONTOISE,110 000,930 000,25/05/21
24,Mar,Appartement,Aubervilliers,BOBIGNY,30 000,112 000,25/05/21
25,Mar,Appartement,Sevran,BOBIGNY,31 500,82 000,25/05/21
26,Mar,Appartement,Pierrefitte-sur-Seine,BOBIGNY,15 000,71 000,25/05/21
27,Mar,PAVILLON,Aulnay-sous-Bois,BOBIGNY,150 000,291 000,25/05/21
28,Mar,Appartement,Clichy-sous-Bois,BOBIGNY,11 048,11 048,25/05/21
29,Mar,Appartement,Aulnay-sous-Bois,BOBIGNY,50 000,63 000,25/05/21
30,Mar,Appartement,Stains,BOBIGNY,50 600,50 601,25/05/21
31,Mar,Terrain,Saint-denis,BOBIGNY,45 000,351 000,25/05/21
32,Mer,Appartement,Velizy-Villacoublay,VERSAILLES,40 000,138 000,19/05/21
33,Mer,Studio,Triel-sur-Seine,VERSAILLES,20 000,58 000,19/05/21
34,Mar,PAVILLON,Aulnay-sous-Bois,BOBIGNY,177 100,250 000,18/05/21
35,Mar,Appartement,Clichy-sous-Bois,BOBIGNY,26 000,26 000,18/05/21
36,Mar,Appartement,Epinay-sur-Seine,BOBIGNY,42 000,127 000,18/05/21
37,Mar,Appartement,Clichy-sous-Bois,BOBIGNY,28 000,28 000,18/05/21
38,Mar,Appartement,les-Pavillons-sous-Bois,BOBIGNY,45 000,146 000,18/05/21
39,Mer,Appartement,Grigny,EVRY,20 000,43 000,12/05/21
40,Mer,Appartement,Ã‰vry,EVRY,19 207,85 000,12/05/21
41,Mer,Appartement,Hardricourt,VERSAILLES,115 000,115 000,12/05/21
42,Mer,Logement,et,VERSAILLES,23 100,60 000,12/05/21
43,Mer,PAVILLON,Vaux-sur-Seine,VERSAILLES,369 600,378 000,12/05/21
44,Mer,Maison,Crespieres,VERSAILLES,220 000,460 000,12/05/21
45,Mer,Appartement,Sartrouville,VERSAILLES,77 000,78 000,12/05/21
46,Mar,Appartement,Argenteuil,PONTOISE,52 000,150 000,11/05/21
47,Mar,Studio,Argenteuil,PONTOISE,28 000,92 000,11/05/21
48,Mar,PAVILLON,Pierrefitte-sur-Seine,BOBIGNY,80 000,242 000,11/05/21
49,Mar,Appartement,Aulnay-sous-Bois,BOBIGNY,52 000,85 000,11/05/21
